episode,return
1,-103.96608322070726
2,-22706.134299038556
3,-9461.53001133526
4,-7328.540851322906
5,44.34552195902991
6,-10155.915075641278
7,-23678.248383664268
8,-478.86443648587675
9,-7886.996574228082
10,-292.8208832943521
11,-3455.705316113884
12,-13213.106931594653
13,-83.72543630340542
14,-51.72976112097109
15,-656.4913570369957
16,-1819.7191138731032
17,68.419963626237
18,37.09549958016106
19,-549.540685978995
20,-51.9650245721005
21,-5820.489969281932
22,-3340.1549105790677
23,-12.169792351837103
24,153.6067580917321
25,-634.7314461687644
26,-136.6820299620111
27,45.9666593214416
28,34.71665664490748
29,41.177835957535784
30,97.6628780410227
31,-222.26702041249888
32,5.918428107333278
33,67.3241645580993
34,81.88892054892462
35,96.85456951729189
36,-115.70364076634984
37,-93.05396389911714
38,222.6571463467595
39,119.35197140013764
40,-625.1871772802256
41,40.32957074841228
42,-90.53541013467961
43,153.40946171055947
44,91.72622390240775
45,97.63776302007003
46,-422.1006373304343
47,24.978724311265278
48,183.5959168073873
49,125.46189601770189
50,43.632788647789624
51,167.6793041960923
52,84.28707989379929
53,24.88610958998166
54,72.7737751494872
55,150.7821711361252
56,200.6011574120135
57,130.89438081387897
58,197.5589823203787
59,258.5187551024753
60,92.9953743168066
61,129.7442446837726
62,189.27632297255406
63,74.5128976802259
64,183.59051301881158
65,240.60090141437385
66,63.814234383476425
67,107.01625134365695
68,39.80036658373812
69,161.0437848181689
70,82.65824210956184
71,158.93208870279554
72,115.60076715525756
73,33.51428233381329
74,128.7627425183288
75,150.1335763750791
76,200.67807327042306
77,196.03341598632656
78,179.2870161745103
79,195.30889814887206
80,204.6209945065628
81,226.4036761851592
82,153.45676562931928
83,202.6618883430366
84,183.06584343183297
85,231.5187095085735
86,239.94398578496128
87,168.02193693515446
88,303.47721206935995
89,187.63918657280698
90,141.5213501318651
91,264.89065562834685
92,164.0310156634641
93,154.79618158618354
94,212.3335788669189
95,114.58135833509833
96,151.73533898055925
97,293.4058965039229
98,187.1335988957425
99,97.2199189399131
100,260.45050634290345
101,265.7895531632441
102,230.45159209703704
103,250.86891336860913
104,166.65351476601802
105,267.7071975865949
106,155.2437459754126
107,194.95807170593312
108,242.4641965223655
109,88.84660361981835
110,296.77774552810274
111,225.194710555325
112,43.71790807709329
113,146.7532219563994
114,265.3290977554222
115,278.8463978207896
116,298.12348173485185
117,196.7286455695011
118,64.77028838641101
119,202.75381680069958
120,234.36382740971672
121,271.1463822131133
122,304.21799206018994
123,164.6374899606052
124,200.70918337897837
125,316.67758759796436
126,167.48149932885363
127,199.24018420441263
128,202.84503187952976
129,224.08005458846893
130,270.2205371704323
131,292.367975294211
132,297.3584476589508
133,261.3056190535157
134,345.05368952104
135,249.59709177334744
136,252.61465620665948
137,261.38313844030796
138,194.42666158155598
139,138.6106991280252
140,210.1281399196444
141,258.95697868335037
142,157.5496198558936
143,239.65934340814297
144,267.0917267664206
145,285.390202921094
146,276.385719920347
147,341.85640096469956
148,271.4035322081687
149,229.48330733867184
150,252.64117999806015
151,359.2231018039074
152,276.8019697617296
153,320.22491904742856
154,273.6179892507127
155,338.495715613397
156,328.7597078060515
157,287.7592677991218
158,337.00866785988325
159,369.1164701674499
160,365.39325448363684
161,362.4805903252275
162,294.8857906603054
163,332.2600286669898
164,262.3902376989861
165,322.41053973091005
166,310.5048655061247
167,298.59643842838113
168,225.48182314566625
169,232.22245846821917
170,372.869234438019
171,383.1082795135126
172,306.88117723098605
173,294.93040920502983
174,315.2446093597846
175,336.10530414752276
176,110.42821809727252
177,292.15238900971553
178,365.03154479402156
179,354.48791772656324
180,344.6903761665917
181,328.61375036477995
182,351.2674595531523
183,208.11864650063427
184,335.8662762057015
185,326.0018744136227
186,213.66781643702564
187,323.2322143961757
188,260.5952600852588
189,271.38351644541035
190,278.1286197751898
191,368.67510004368467
192,198.72572207959476
193,301.2830070185445
194,332.55839220926896
195,372.35514382039827
196,383.248285131939
197,383.0847887440402
198,368.01399085904853
199,428.80498857176536
200,338.4905815896746
201,309.50076684918764
202,376.32347718087027
203,247.3864473761857
204,373.8051746635745
205,412.2362770736137
206,352.4464424809103
207,357.31724807965793
208,405.4292731280858
209,316.81060440682654
210,411.4828466532929
211,368.43799487078957
212,413.906530749719
213,377.14220084234574
214,290.9581915709336
215,255.95525730827677
216,219.59593714369413
217,301.8178039537204
218,314.4549739747887
219,371.4318666985031
220,353.2111378217245
221,261.4361340120239
222,383.21752665495245
223,349.51444668112964
224,311.70117406372657
225,315.96496769008377
226,403.2598376705487
227,419.2883510450305
228,372.3810078258526
229,415.860552984845
230,339.19258681188984
231,356.83041290630433
232,363.9830302375659
233,317.40980020668957
234,354.7349270691698
235,389.1357151911484
236,437.83109584506605
237,402.94862403392534
238,435.8358868951154
239,433.832420332087
240,352.4769618493137
241,395.04497681740474
242,435.15444206847314
243,264.48568608330464
244,366.40584194986747
245,337.7818334023577
246,430.6868074132296
247,398.9386715097984
248,429.46304796171705
249,382.34362691917255
250,428.5597171376376
